cropid	cropname	primary(1)_secondary(2)_feed(3)	Edible_(1 yes)_(0isno)_(2isnonnutritinoal)	ProductionL	TradeL	FBS ID	FBS name	group	kcal/ton	Protein(g/ton)	Fat(g/ton)	Group	Groupnum
68	Popcorn	2		0	1	2520	"Cereals, Other"	Cereals	3560000	95000	43000	1 - CEREALS AND CEREAL PRODUCTS	1
71	Rye	1	1	1	1	2515	Rye	Cereals	3190000	110000	19000	1 - CEREALS AND CEREAL PRODUCTS	1
72	Flour of Rye	2		0	1	2515	Rye	Cereals	3410000	90000	18000	1 - CEREALS AND CEREAL PRODUCTS	1
73	Bran of Rye	3		0	0	2515	Rye	Cereals	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
75	Oats	1	1	1	1	2516	Oats	Cereals	3850000	130000	75000	1 - CEREALS AND CEREAL PRODUCTS	1
76	Oats Rolled	2		0	1	2516	Oats	Cereals	3840000	160000	63000	1 - CEREALS AND CEREAL PRODUCTS	1
77	Bran of Oats	3		0	0	2516	Oats	Cereals	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
79	Millet	1	1	1	1	2517	Millet	Cereals	3400000	97000	30000	1 - CEREALS AND CEREAL PRODUCTS	1
80	Flour of Millet	2		0	1	2517	Millet	Cereals	3400000	97000	30000	1 - CEREALS AND CEREAL PRODUCTS	1
81	Bran of Millet	3		0	0	2517	Millet	Cereals	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
83	Sorghum	1	1	1	1	2518	Sorghum	Cereals	3430000	101000	33000	1 - CEREALS AND CEREAL PRODUCTS	1
84	Flour of Sorghum	2		0	1	2518	Sorghum	Cereals	3430000	101000	33000	1 - CEREALS AND CEREAL PRODUCTS	1
85	Bran of Sorghum	3		0	0	2518	Sorghum	Cereals	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
86	Beer of Sorghum	2		0	1	2657	"Beverages, Fermented"	Beverages	400000	4000	0	15 - BEVERAGES	15
89	Buckwheat	1	1	1	1	2520	"Cereals, Other"	Cereals	3300000	110000	20000	1 - CEREALS AND CEREAL PRODUCTS	1
90	Flour of Buckwheat	2		0	1	2520	"Cereals, Other"	Cereals	3440000	64000	12000	1 - CEREALS AND CEREAL PRODUCTS	1
91	Bran Buckwheat	3		0	0	2520	"Cereals, Other"	Cereals	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
92	Quinoa	1	1	1	1	2520	"Cereals, Other"	Cereals	3420000	120000	50000	1 - CEREALS AND CEREAL PRODUCTS	1
94	Fonio	1	1	1	1	2520	"Cereals, Other"	Cereals	3380000	80000	30000	1 - CEREALS AND CEREAL PRODUCTS	1
95	Flour of Fonio	2		0	1	2520	"Cereals, Other"	Cereals	3550000	90000	22000	1 - CEREALS AND CEREAL PRODUCTS	1
96	Bran of Fonio	3		0	0	2520	"Cereals, Other"	Cereals	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
97	Triticale	1	1	1	1	2520	"Cereals, Other"	Cereals	3270000	116000	21000	1 - CEREALS AND CEREAL PRODUCTS	1
101	Canary seed	1	0	1	1	2520	"Cereals, Other"	Cereals	3880000	160000	60000	1 - CEREALS AND CEREAL PRODUCTS	1
103	Mixed grain	1	1	1	1	2520	"Cereals, Other"	Cereals	3400000	80000	15000	1 - CEREALS AND CEREAL PRODUCTS	1
104	Flour of Mixed Grain	2		0	1	2520	"Cereals, Other"	Cereals	3640000	100000	11000	1 - CEREALS AND CEREAL PRODUCTS	1
105	Bran of Mixed Grains	3		0	0	2520	"Cereals, Other"	Cereals	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
108	"Cereals, nes"	1	1	1	1	2520	"Cereals, Other"	Cereals	3400000	80000	15000	1 - CEREALS AND CEREAL PRODUCTS	1
109	Infant Food	2		0	1		#N/A	#N/A	3680000	152000	29000	1 - CEREALS AND CEREAL PRODUCTS	1
110	Wafers	2		0	1	2511	Wheat	Cereals	4390000	92000	131000	1 - CEREALS AND CEREAL PRODUCTS	1
111	Flour of Cereals	2		0	1	2520	"Cereals, Other"	Cereals	3640000	100000	11000	1 - CEREALS AND CEREAL PRODUCTS	1
112	Bran of Cereals	3		0	0	2520	"Cereals, Other"	Cereals	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
113	"Cereal Preparations, Nes"	2		0	1	2520	"Cereals, Other"	Cereals	3640000	100000	11000	1 - CEREALS AND CEREAL PRODUCTS	1
114	Mixes and Doughs	2		0	1	2511	Wheat	Cereals	3930000	62000	120000	1 - CEREALS AND CEREAL PRODUCTS	1
115	"Food Prep,Flour,Malt Extract"	2		0	1	2511	Wheat	Cereals	3770000	75000	27000	1 - CEREALS AND CEREAL PRODUCTS	1
116	Potatoes	1	1	1	1	2531	Potatoes	Roots	670000	16000	1000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
117	Potatoes Flour	2		0	1	2531	Potatoes	Roots	3490000	85000	4000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
118	Frozen Potatoes	2		0	1	2531	Potatoes	Roots	730000	12000	0	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
120	Potato Offals	3		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
121	Tapioca of Potatoes	2		0	1	2531	Potatoes	Roots	3620000	5000	3000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
122	Sweet potatoes	1	1	1	1	2533	Sweet Potatoes	Roots	920000	7000	2000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
